F [GHz],dB(S11)
4.570000000000002,-3.016466812872849
4.575000000000002,-3.036013243857933
4.580000000000002,-3.055702838762623
4.585000000000002,-3.075536774492481
4.590000000000003,-3.095516238848336
4.595000000000002,-3.115642430652017
4.600000000000002,-3.135916559874363
4.605000000000002,-3.156339847765317
4.610000000000002,-3.176913526986322
4.615000000000002,-3.197638841745032
4.620000000000002,-3.218517047932301
4.625000000000002,-3.239549413261736
4.630000000000003,-3.260737217411564
4.635000000000003,-3.282081752169150
4.640000000000002,-3.303584321578078
4.645000000000002,-3.325246242087925
4.650000000000002,-3.347068842706738
4.655000000000002,-3.369053465156345
4.660000000000002,-3.391201464030561
4.665000000000002,-3.413514206956290
4.670000000000003,-3.435993074757699
4.675000000000003,-3.458639461623525
4.680000000000002,-3.481454775277495
4.685000000000002,-3.504440437152076
4.690000000000002,-3.527597882565574
4.695000000000002,-3.550928560902633
4.700000000000002,-3.574433935798371
4.705000000000002,-3.598115485325986
4.710000000000003,-3.621974702188267
4.715000000000003,-3.646013093912784
4.720000000000002,-3.670232183051076
4.725000000000002,-3.694633507381863
4.730000000000002,-3.719218620118379
4.735000000000002,-3.743989090119973
4.740000000000002,-3.768946502108075
4.745000000000002,-3.794092456886625
4.750000000000003,-3.819428571567140
4.755000000000003,-3.844956479798511
4.760000000000003,-3.870677832001627
4.765000000000002,-3.896594295609044
4.770000000000002,-3.922707555309760
4.775000000000002,-3.949019313299282
4.780000000000002,-3.975531289535105
4.785000000000002,-4.002245221997755
4.790000000000003,-4.029162866957627
4.795000000000003,-4.056285999247648
4.800000000000003,-4.083616412541980
4.805000000000002,-4.111155919641064
4.810000000000002,-4.138906352762967
4.815000000000002,-4.166869563841355
4.820000000000002,-4.195047424830229
4.825000000000002,-4.223441828015688
4.830000000000003,-4.252054686334764
4.835000000000003,-4.280887933701740
4.840000000000003,-4.309943525341983
4.845000000000002,-4.339223438133669
4.850000000000002,-4.368729670957432
4.855000000000002,-4.398464245054412
4.860000000000002,-4.428429204392723
4.865000000000002,-4.458626616042794
4.870000000000002,-4.489058570561609
4.875000000000003,-4.519727182386346
4.880000000000003,-4.550634590237572
4.885000000000003,-4.581782957532218
4.890000000000002,-4.613174472806819
4.895000000000002,-4.644811350151130
4.900000000000002,-4.676695829652512
4.905000000000002,-4.708830177851509
4.910000000000002,-4.741216688208747
4.915000000000003,-4.773857681583668
4.920000000000003,-4.806755506725432
4.925000000000003,-4.839912540776239
4.930000000000002,-4.873331189787724
4.935000000000002,-4.907013889250483
4.940000000000002,-4.940963104637356
4.945000000000002,-4.975181331960930
4.950000000000002,-5.009671098345546
4.955000000000003,-5.044434962614382
4.960000000000003,-5.079475515891979
4.965000000000003,-5.114795382222920
4.970000000000002,-5.150397219206846
4.975000000000002,-5.186283718650645
4.980000000000002,-5.222457607238180
4.985000000000002,-5.258921647218118
4.990000000000002,-5.295678637110576
4.995000000000003,-5.332731412433078
5.000000000000003,-5.370082846446453
5.005000000000003,-5.407735850921402
5.010000000000003,-5.445693376926323
5.015000000000002,-5.483958415637162
5.020000000000002,-5.522533999170073
5.025000000000002,-5.561423201437342
5.030000000000002,-5.600629139027860
5.035000000000003,-5.640154972112462
5.040000000000003,-5.680003905375335
5.045000000000003,-5.720179188972106
5.050000000000003,-5.760684119515804
5.055000000000002,-5.801522041091387
5.060000000000002,-5.842696346299865
5.065000000000002,-5.884210477333267
5.070000000000002,-5.926067927081195
5.075000000000003,-5.968272240270216
5.080000000000003,-6.010827014637418
5.085000000000003,-6.053735902138923
5.090000000000003,-6.097002610194982
5.095000000000002,-6.140630902972715
5.100000000000002,-6.184624602707996
5.105000000000002,-6.228987591067721
5.110000000000002,-6.273723810554091
5.115000000000003,-6.318837265952292
5.120000000000003,-6.364332025823221
5.125000000000003,-6.410212224042997
5.130000000000003,-6.456482061390704
5.135000000000003,-6.503145807186509
5.140000000000002,-6.550207800981794
5.145000000000002,-6.597672454303331
5.150000000000002,-6.645544252453483
5.155000000000002,-6.693827756368710
5.160000000000003,-6.742527604538319
5.165000000000003,-6.791648514986232
5.170000000000003,-6.841195287317535
5.175000000000003,-6.891172804833067
5.180000000000002,-6.941586036714180
5.185000000000002,-6.992440040280544
5.190000000000002,-7.043739963324067
5.195000000000002,-7.095491046521780
5.200000000000003,-7.147698625930925
5.205000000000003,-7.200368135569415
5.210000000000003,-7.253505110085444
5.215000000000003,-7.307115187519602
5.220000000000002,-7.361204112163306
5.225000000000002,-7.415777737517781
5.230000000000002,-7.470842029357501
5.235000000000002,-7.526403068902610
5.240000000000003,-7.582467056104850
5.245000000000003,-7.639040313052012
5.250000000000003,-7.696129287495658
5.255000000000003,-7.753740556507749
5.260000000000003,-7.811880830271482
5.265000000000002,-7.870556956012491
5.270000000000002,-7.929775922076448
5.275000000000002,-7.989544862159419
5.280000000000003,-8.049871059698061
5.285000000000003,-8.110761952426747
5.290000000000003,-8.172225137109056
5.295000000000003,-8.234268374451847
5.300000000000003,-8.296899594210073
5.305000000000002,-8.360126900491363
5.310000000000002,-8.423958577269547
5.315000000000002,-8.488403094117158
5.320000000000003,-8.553469112167132
5.325000000000003,-8.619165490314742
5.330000000000003,-8.685501291671374
5.335000000000003,-8.752485790282329
5.340000000000003,-8.820128478121688
