F [GHz],dB(S11)
4.830000000000003,-3.974738733069755
4.835000000000003,-3.989881888803848
4.840000000000003,-4.005163059103422
4.845000000000002,-4.020583779449528
4.850000000000002,-4.036145607544396
4.855000000000002,-4.051850123701721
4.860000000000002,-4.067698931245172
4.865000000000002,-4.083693656915439
4.870000000000002,-4.099835951285963
4.875000000000003,-4.116127489187621
4.880000000000003,-4.132569970142534
4.885000000000003,-4.149165118807315
4.890000000000002,-4.165914685425936
4.895000000000002,-4.182820446292521
4.900000000000002,-4.199884204224260
4.905000000000002,-4.217107789044770
4.910000000000002,-4.234493058078177
4.915000000000003,-4.252041896654144
4.920000000000003,-4.269756218624227
4.925000000000003,-4.287637966889784
4.930000000000002,-4.305689113941813
4.935000000000002,-4.323911662413010
4.940000000000002,-4.342307645642356
4.945000000000002,-4.360879128252700
4.950000000000002,-4.379628206741491
4.955000000000003,-4.398557010085205
4.960000000000003,-4.417667700357835
4.965000000000003,-4.436962473363677
4.970000000000002,-4.456443559285028
4.975000000000002,-4.476113223345073
4.980000000000002,-4.495973766486467
4.985000000000002,-4.516027526066021
4.990000000000002,-4.536276876565979
4.995000000000003,-4.556724230322416
5.000000000000003,-4.577372038271111
5.005000000000003,-4.598222790711585
5.010000000000003,-4.619279018089715
5.015000000000002,-4.640543291799560
5.020000000000002,-4.662018225004873
5.025000000000002,-4.683706473480999
5.030000000000002,-4.705610736477728
5.035000000000003,-4.727733757603697
5.040000000000003,-4.750078325733081
5.045000000000003,-4.772647275935182
5.050000000000003,-4.795443490427706
5.055000000000002,-4.818469899554374
5.060000000000002,-4.841729482787710
5.065000000000002,-4.865225269757732
5.070000000000002,-4.888960341307414
5.075000000000003,-4.912937830575753
5.080000000000003,-4.937160924109342
5.085000000000003,-4.961632863003315
5.090000000000003,-4.986356944072725
5.095000000000002,-5.011336521055192
5.100000000000002,-5.036575005846038
5.105000000000002,-5.062075869766801
5.110000000000002,-5.087842644868369
5.115000000000003,-5.113878925269848
5.120000000000003,-5.140188368534324
5.125000000000003,-5.166774697082888
5.130000000000003,-5.193641699648077
5.135000000000003,-5.220793232768215
5.140000000000002,-5.248233222324039
5.145000000000002,-5.275965665118990
5.150000000000002,-5.303994630504840
5.155000000000002,-5.332324262054166
5.160000000000003,-5.360958779281357
5.165000000000003,-5.389902479413879
5.170000000000003,-5.419159739215651
5.175000000000003,-5.448735016864326
5.180000000000002,-5.478632853884589
5.185000000000002,-5.508857877139372
5.190000000000002,-5.539414800881272
5.195000000000002,-5.570308428866277
5.200000000000003,-5.601543656532251
5.205000000000003,-5.633125473244595
5.210000000000003,-5.665058964611580
5.215000000000003,-5.697349314872134
5.220000000000002,-5.730001809358711
5.225000000000002,-5.763021837038367
5.230000000000002,-5.796414893134926
5.235000000000002,-5.830186581835571
5.240000000000003,-5.864342619085083
5.245000000000003,-5.898888835471319
5.250000000000003,-5.933831179205596
5.255000000000003,-5.969175719201851
5.260000000000003,-6.004928648258503
